dataset,column,data_type,row_count,missing_count,missing_pct,unique_values
account_status_history,history_id,object,60000,0,0.0,60000
account_status_history,account_id,object,60000,0,0.0,25999
account_status_history,borrower_id,object,60000,0,0.0,11916
account_status_history,event_at,object,60000,0,0.0,59898
account_status_history,status,object,60000,0,0.0,7
account_status_history,changed_by,object,60000,0,0.0,101
account_status_history,source,object,60000,0,0.0,5
account_status_history,recorded_at,object,60000,0,0.0,59906
accounts,account_id,object,30000,0,0.0,30000
accounts,borrower_id,object,30000,455,1.52,10943
accounts,loan_type,object,30000,0,0.0,5
accounts,principal_amount,float64,30000,0,0.0,29996
accounts,outstanding_amount,float64,30000,0,0.0,29994
accounts,dpd,int64,30000,0,0.0,11
accounts,risk_segment,object,30000,0,0.0,4
accounts,status,object,30000,0,0.0,4
accounts,opened_at,object,30000,0,0.0,29993
accounts,timezone,object,30000,0,0.0,3
accounts,schema_version,object,30000,0,0.0,3
agent_sessions,session_id,object,15000,0,0.0,15000
agent_sessions,agent_id,object,15000,0,0.0,1000
agent_sessions,login_at,object,15000,0,0.0,14996
agent_sessions,channel,object,15000,0,0.0,4
agent_sessions,device_id,object,15000,0,0.0,1500
agent_sessions,timezone,object,15000,0,0.0,2
agent_sessions,logout_at,object,15000,0,0.0,14996
agents,agent_id,object,30000,0,0.0,1000
agents,employee_code,object,30000,0,0.0,1099
agents,agent_name,object,30000,0,0.0,10
agents,vendor_id,object,30000,0,0.0,15
agents,team,object,30000,0,0.0,5
agents,status,object,30000,0,0.0,3
agents,joined_at,object,30000,0,0.0,29995
agents,updated_at,object,30000,0,0.0,29987
borrowers,borrower_id,object,30600,0,0.0,11015
borrowers,name,object,30600,0,0.0,10
borrowers,phone,float64,30600,614,2.01,29395
borrowers,email,object,30600,895,2.92,15377
borrowers,city,object,30600,0,0.0,10
borrowers,created_at,object,30600,0,0.0,29997
borrowers,updated_at,object,30600,0,0.0,29991
borrowers,state,object,30600,0,0.0,9
call_attempts,attempt_id,object,120000,0,0.0,120000
call_attempts,account_id,object,120000,0,0.0,29451
call_attempts,borrower_id,object,120000,0,0.0,12000
call_attempts,event_at,object,120000,0,0.0,119605
call_attempts,call_id,object,120000,0,0.0,66244
call_attempts,agent_id,object,120000,0,0.0,1000
call_attempts,attempt_no,int64,120000,0,0.0,7
call_attempts,vendor_id,object,120000,2400,2.0,15
call_attempts,attempt_status,object,120000,0,0.0,5
call_dispositions,disposition_id,object,35000,0,0.0,35000
call_dispositions,account_id,object,35000,0,0.0,20603
call_dispositions,borrower_id,object,35000,0,0.0,11359
call_dispositions,event_at,object,35000,0,0.0,34966
call_dispositions,call_id,object,35000,0,0.0,28971
call_dispositions,agent_id,object,35000,0,0.0,1000
call_dispositions,disposition_code,object,35000,0,0.0,9
call_dispositions,disposition_version,object,35000,0,0.0,3
calls,call_id,object,91350,0,0.0,90000
calls,account_id,object,91350,0,0.0,28408
calls,borrower_id,object,91350,0,0.0,11992
calls,event_at,object,91350,0,0.0,89796
calls,agent_id,object,91350,1827,2.0,1000
calls,campaign_id,object,91350,0,0.0,120
calls,direction,object,91350,0,0.0,2
calls,vendor_id,object,91350,0,0.0,15
calls,call_status,object,91350,0,0.0,5
calls,duration_sec,int64,91350,0,0.0,900
calls,timezone,object,91350,0,0.0,3
campaigns,campaign_id,object,120,0,0.0,120
campaigns,campaign_name,object,120,0,0.0,5
campaigns,channel,object,120,0,0.0,5
campaigns,strategy_version,object,120,0,0.0,4
campaigns,start_at,object,120,0,0.0,120
campaigns,target_definition,object,120,0,0.0,5
campaigns,end_at,object,120,0,0.0,120
complaints,complaint_id,object,8000,0,0.0,8000
complaints,account_id,object,8000,0,0.0,7034
complaints,borrower_id,object,8000,0,0.0,5839
complaints,event_at,object,8000,0,0.0,7997
complaints,complaint_type,object,8000,0,0.0,7
complaints,severity,object,8000,0,0.0,4
complaints,status,object,8000,0,0.0,4
complaints,source,object,8000,0,0.0,5
complaints,resolution_at,object,8000,0,0.0,7998
daily_targeting,target_id,object,45000,0,0.0,45000
daily_targeting,account_id,object,45000,0,0.0,23344
daily_targeting,campaign_id,object,45000,0,0.0,120
daily_targeting,target_date,object,45000,0,0.0,220
daily_targeting,priority,int64,45000,0,0.0,10
daily_targeting,recommended_channel,object,45000,0,0.0,4
daily_targeting,status,object,45000,0,0.0,4
data_dictionary,dataset,object,143,0,0.0,17
data_dictionary,column,object,143,0,0.0,80
data_dictionary,dtype,object,143,0,0.0,4
field_visits,visit_id,object,25000,0,0.0,25000
field_visits,account_id,object,25000,0,0.0,16908
field_visits,borrower_id,object,25000,0,0.0,10537
field_visits,event_at,object,25000,0,0.0,24973
field_visits,agent_id,object,25000,0,0.0,1000
field_visits,visit_type,object,25000,0,0.0,4
field_visits,outcome,object,25000,0,0.0,6
field_visits,latitude,float64,25000,0,0.0,25000
field_visits,longitude,float64,25000,0,0.0,25000
field_visits,scheduled_at,object,25000,250,1.0,24730
payments,payment_id,object,25500,0,0.0,25000
payments,account_id,object,25500,0,0.0,16934
payments,borrower_id,object,25500,0,0.0,10474
payments,event_at,object,25500,0,0.0,24984
payments,payment_reference,object,25500,382,1.5,20821
payments,amount,float64,25500,0,0.0,24979
payments,payment_status,object,25500,0,0.0,4
payments,payment_method,object,25500,0,0.0,5
payments,provider_id,object,25500,0,0.0,15
promises_to_pay,ptp_id,object,18000,0,0.0,18000
promises_to_pay,account_id,object,18000,0,0.0,13532
promises_to_pay,borrower_id,object,18000,0,0.0,9299
promises_to_pay,event_at,object,18000,0,0.0,17990
promises_to_pay,agent_id,object,18000,0,0.0,1000
promises_to_pay,promised_amount,float64,18000,0,0.0,17983
