month,status,target_count,share_within_month
2026-01,CONTACTED,1562,0.2452504317789292
2026-01,EXPIRED,1615,0.2535719893232847
2026-01,QUEUED,1553,0.2438373371015858
2026-01,SKIPPED,1639,0.25734024179620035
2026-02,CONTACTED,1409,0.2468032930460676
2026-02,EXPIRED,1473,0.2580136626379401
2026-02,QUEUED,1454,0.254685584165353
2026-02,SKIPPED,1373,0.24049746015063933
2026-03,CONTACTED,1564,0.24864864864864866
2026-03,EXPIRED,1590,0.2527821939586645
2026-03,QUEUED,1609,0.2558028616852146
2026-03,SKIPPED,1527,0.24276629570747219
2026-04,CONTACTED,1577,0.2541498791297341
2026-04,EXPIRED,1560,0.25141015310233683
2026-04,QUEUED,1515,0.24415793714746173
2026-04,SKIPPED,1553,0.2502820306204674
2026-05,CONTACTED,1617,0.25100900341508847
2026-05,EXPIRED,1597,0.24790437752250855
2026-05,QUEUED,1605,0.24914622787954052
2026-05,SKIPPED,1623,0.2519403911828625
2026-06,CONTACTED,1547,0.2513812154696133
2026-06,EXPIRED,1594,0.25901852453688656
2026-06,QUEUED,1477,0.24000649983750405
2026-06,SKIPPED,1536,0.2495937601559961
2026-07,CONTACTED,1571,0.2521669341894061
2026-07,EXPIRED,1537,0.24670947030497592
2026-07,QUEUED,1589,0.2550561797752809
2026-07,SKIPPED,1533,0.24606741573033708
2026-08,CONTACTED,407,0.25421611492816987
2026-08,EXPIRED,405,0.25296689569019365
2026-08,QUEUED,400,0.24984384759525297
2026-08,SKIPPED,389,0.24297314178638352
